Churned,Age,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Mobile_App_Usage,Social_Media_Engagement_Score,Email_Open_Rate,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Cart_Abandonment_Rate,Wishlist_Items,Discount_Usage_Rate,Returns_Rate,Customer_Service_Calls,Product_Reviews_Written,Payment_Method_Diversity,Credit_Balance
0,43.0,2.9,14.0,27.4,6.0,20.8,16.3,17.9,9.0,94.72,34.0,50.6,3.0,46.4,2.0,9.0,4.0,1.0,2278.0
0,36.0,1.6,15.0,42.7,10.3,23.3,,42.8,19.5,82.45,71.0,37.7,1.0,57.96,9.2,7.0,3.0,3.0,3028.0
0,45.0,2.9,10.0,24.8,1.6,8.8,,0.0,9.1,165.52,11.0,70.9,1.0,12.239999999999998,11.5,4.0,1.0,,2317.0
0,56.0,2.6,10.0,38.4,14.8,31.0,85.9,41.4,15.0,147.33,47.0,41.7,9.0,44.1,5.4,2.0,5.0,3.0,2674.0
0,35.0,3.1,29.0,51.4,,50.4,83.0,37.9,32.5,141.3,73.0,19.1,9.0,25.2,5.5,1.0,11.0,4.0,5354.0
1,35.0,3.5,6.0,21.9,6.9,11.2,14.3,16.0,12.0,190.97,29.0,74.4,0.0,60.2,11.0,8.0,2.0,2.0,2418.0
0,56.0,1.9,24.0,46.4,13.9,42.9,68.8,35.5,20.0,169.58,10.0,36.2,5.0,27.8,5.5,4.0,6.0,5.0,2657.0
0,47.0,1.6,14.0,24.1,8.3,7.6,30.1,5.5,13.0,161.98,6.0,59.9,2.0,77.16,6.3,5.0,,2.0,2274.0
0,32.0,1.3,14.0,,7.4,18.7,0.0,19.0,6.0,77.79,13.0,66.5,4.0,1.8,9.9,2.0,0.0,2.0,534.0
0,44.0,3.6,13.0,31.3,5.4,21.5,13.5,11.7,9.0,90.95,38.0,62.6,3.0,65.5,,2.0,1.0,2.0,977.0
1,32.0,0.9,0.0,12.3,2.9,8.0,17.0,0.0,5.0,118.0,23.0,73.5,0.0,46.2,5.1,11.0,2.0,1.0,498.0
1,32.0,0.6,11.0,12.1,5.6,17.7,0.0,4.0,5.0,78.88,36.0,77.2,0.0,72.0,4.8,7.0,1.0,2.0,1369.0
0,40.0,7.1,10.0,19.2,7.0,,17.7,9.6,10.0,123.99,38.0,69.1,6.0,59.0,1.9,4.0,,4.0,2446.0
1,18.0,3.1,13.0,26.1,8.9,21.5,,19.0,11.0,107.58,3.0,47.7,2.0,22.9,0.2,8.0,4.0,3.0,2772.0
0,18.0,3.7,14.0,33.5,10.3,23.3,28.3,16.1,15.0,123.0,8.0,48.4,2.0,40.0,3.7,6.0,4.0,3.0,3624.0
0,31.0,1.4,24.0,50.8,18.0,26.5,81.6,45.0,18.0,91.92,55.0,44.0,5.0,83.8,2.5,4.0,5.0,1.0,2564.0
0,25.0,0.9,4.0,12.4,3.7,15.5,0.0,0.0,4.0,116.39,78.0,68.5,1.0,42.6,7.0,9.0,1.0,1.0,1048.0
0,41.0,0.7,5.0,19.5,5.3,13.4,0.0,1.2,14.3,107.78,20.0,68.0,2.0,,8.0,4.0,,1.0,1924.0
0,27.0,2.0,0.0,20.3,9.8,17.5,3.4,12.5,11.0,103.12,5.0,59.8,2.0,6.5,18.6,4.0,0.0,3.0,54.0
0,21.0,5.6,9.0,27.5,8.8,25.6,28.2,,16.0,80.88,42.0,52.1,4.0,,14.0,7.0,5.0,1.0,3107.0
0,55.0,1.2,24.0,50.3,16.0,37.8,76.7,72.1,24.0,108.52,4.0,25.2,9.0,33.0,11.6,1.0,5.0,1.0,4561.0
1,35.0,4.7,6.0,14.4,6.5,2.9,3.3,19.9,6.5,118.84,32.0,80.9,,35.04,9.5,8.0,1.0,1.0,
0,38.0,2.7,30.0,45.1,10.7,27.5,40.8,14.8,22.1,144.17,8.0,29.6,6.0,25.8,1.6,5.0,6.0,1.0,4088.0
1,20.0,2.7,27.0,49.7,14.4,37.3,65.3,43.0,20.0,136.08,81.0,29.3,11.0,19.4,0.1,2.0,9.0,2.0,1725.0
0,31.0,3.3,18.0,40.1,12.8,45.2,68.3,38.0,21.0,113.36,39.0,45.5,7.0,22.1,2.2,5.0,8.0,2.0,2465.0
0,39.0,3.9,14.0,19.6,11.6,25.4,43.5,23.3,10.0,218.46,15.0,65.3,7.0,50.9,16.2,8.0,6.0,3.0,2511.0
0,,1.3,17.0,18.9,8.6,19.0,25.4,18.3,15.6,63.28,40.0,61.1,7.0,40.08,5.8,2.0,4.0,4.0,1735.0
0,42.0,0.4,17.0,34.6,8.5,21.3,24.4,21.2,12.0,131.02,16.0,48.7,8.0,45.5,7.5,3.0,3.0,1.0,3002.0
0,30.0,1.4,16.0,38.2,,27.7,38.5,39.1,19.0,152.89,43.0,39.1,3.0,13.9,7.5,4.0,4.0,3.0,2990.0
0,34.0,4.4,12.0,42.1,13.3,28.8,38.8,23.8,17.0,65.22,10.0,38.3,8.0,32.3,5.9,1.0,2.0,2.0,1889.0
0,30.0,5.4,8.0,27.0,9.0,,15.4,4.6,10.0,136.06,24.0,61.0,3.0,23.6,,9.0,5.0,3.0,240.0
0,60.0,4.9,27.0,45.6,,42.7,,57.8,19.0,98.09,59.0,35.1,,67.8,21.5,3.0,6.0,3.0,
1,37.0,7.5,29.0,48.9,15.9,39.6,59.0,33.6,22.0,134.1,34.0,27.8,14.0,22.2,5.1,1.0,10.0,5.0,2544.0
1,25.0,4.9,17.0,27.6,14.1,19.9,32.8,13.1,19.5,172.03,1.0,42.1,3.0,40.8,7.2,7.0,4.0,1.0,3723.0
0,47.0,0.7,1.0,12.4,,9.4,0.0,23.0,5.0,45.35,9.0,59.2,0.0,18.4,4.2,2.0,0.0,2.0,1736.0
0,23.0,2.1,4.0,38.7,7.7,24.1,36.7,22.3,13.0,77.1,42.0,47.0,8.0,,3.8,8.0,6.0,1.0,2564.0
0,40.0,1.5,24.0,31.7,17.0,20.1,80.9,26.3,15.0,146.79,51.0,50.0,,65.8,4.1,5.0,6.0,4.0,427.0
0,18.0,0.9,22.0,39.4,13.3,31.8,23.9,30.9,19.0,86.03,13.0,39.1,10.0,46.1,,4.0,9.0,2.0,2882.0
1,22.0,0.7,13.0,35.0,11.4,29.3,,26.0,15.6,118.2,21.0,47.7,7.0,10.8,11.0,4.0,5.0,5.0,2021.0
0,40.0,3.2,18.0,27.0,9.9,7.5,27.2,0.0,11.0,145.04,68.0,51.5,1.0,62.0,7.9,1.0,1.0,2.0,2966.0
0,46.0,0.7,17.0,48.6,15.3,31.1,52.5,33.6,23.4,81.06,59.0,50.8,12.0,32.16,6.0,5.0,,,1926.0
0,40.0,2.2,26.0,32.6,10.5,18.1,26.4,33.5,15.0,61.15,4.0,53.8,8.0,65.0,7.6,12.0,5.0,2.0,2753.0
0,36.0,1.4,0.0,33.0,5.1,19.9,23.9,11.6,6.0,199.48,43.0,75.1,4.0,47.8,2.1,6.0,1.0,3.0,1416.0
0,,2.7,17.0,30.4,9.8,21.7,45.2,20.7,14.0,85.47,1.0,41.5,11.0,12.4,10.2,4.0,3.0,2.0,2254.0
1,20.0,5.0,24.0,56.2,14.5,33.0,62.5,30.4,19.0,66.29,66.0,22.7,9.0,15.3,8.2,2.0,5.0,1.0,4461.0
0,29.0,4.4,14.0,22.7,8.6,24.3,35.0,3.4,14.0,121.7,1.0,35.2,5.0,9.3,8.3,5.0,4.0,3.0,1098.0
0,32.0,0.5,15.0,28.0,8.0,25.6,16.3,11.0,14.3,107.02,91.0,55.4,4.0,33.84,8.7,3.0,2.0,3.0,2618.0
0,50.0,3.0,0.0,26.8,,14.8,29.8,16.7,16.900000000000002,68.54,3.0,78.4,1.0,45.84,6.4,6.0,1.0,2.0,442.0
0,42.0,6.0,0.0,30.2,10.1,20.2,13.6,27.1,7.0,122.66,10.0,64.3,4.0,34.1,0.9,8.0,,2.0,4038.0
1,18.0,0.4,14.0,35.9,13.2,28.2,41.0,38.9,16.0,169.79,22.0,51.9,5.0,26.7,4.4,4.0,3.0,3.0,2965.0
0,41.0,1.7,18.0,36.5,,36.1,38.6,18.9,15.6,76.83,69.0,44.9,3.0,,5.9,3.0,5.0,2.0,2737.0
0,33.0,1.4,0.0,33.6,6.9,,2.0,8.0,8.0,101.11,32.0,64.0,4.0,26.0,1.4,4.0,2.0,1.0,1165.0
0,29.0,0.8,10.0,19.1,6.6,21.4,13.1,0.0,13.0,204.64,64.0,59.5,0.0,63.48,2.7,9.0,,2.0,1205.0
0,,1.4,0.0,29.2,6.8,19.8,54.2,20.6,9.0,53.47,1.0,52.1,4.0,34.7,5.3,2.0,1.0,2.0,1416.0
0,50.0,4.8,15.0,33.9,,34.8,56.1,18.1,15.0,69.44,47.0,34.6,8.0,23.6,9.5,8.0,4.0,2.0,2319.0
1,49.0,1.8,0.0,13.2,5.8,6.6,0.9,11.9,10.0,198.35,94.0,58.6,1.0,,10.9,9.0,2.0,4.0,0.0
1,27.0,1.6,9.0,10.5,7.0,5.3,6.3,0.0,7.0,121.17,44.0,72.8,1.0,37.8,6.2,9.0,,1.0,206.0
0,,2.1,10.0,39.6,8.9,16.0,51.3,32.0,15.0,217.21,14.0,38.9,5.0,,17.7,4.0,1.0,2.0,2268.0
0,41.0,3.6,17.0,20.4,9.5,19.7,19.6,3.2,10.4,60.9,7.0,51.4,1.0,,5.1,4.0,2.0,1.0,1704.0
