Lifetime_Value,Age,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Mobile_App_Usage,Social_Media_Engagement_Score,Email_Open_Rate,Days_Since_Last_Purchase,Cart_Abandonment_Rate,Wishlist_Items,Discount_Usage_Rate,Returns_Rate,Customer_Service_Calls,Product_Reviews_Written,Payment_Method_Diversity
953.33,43.0,2.9,14.0,27.4,6.0,20.8,16.3,17.9,34.0,50.6,3.0,46.4,2.0,9.0,4.0,1.0
1067.47,36.0,1.6,15.0,42.7,10.3,23.3,,42.8,71.0,37.7,1.0,57.96,9.2,7.0,3.0,3.0
1289.75,45.0,2.9,10.0,24.8,1.6,8.8,,0.0,11.0,70.9,1.0,12.239999999999998,11.5,4.0,1.0,
2340.92,56.0,2.6,10.0,38.4,14.8,31.0,85.9,41.4,47.0,41.7,9.0,44.1,5.4,2.0,5.0,3.0
3041.29,35.0,3.1,29.0,51.4,,50.4,83.0,37.9,73.0,19.1,9.0,25.2,5.5,1.0,11.0,4.0
1995.43,35.0,3.5,6.0,21.9,6.9,11.2,14.3,16.0,29.0,74.4,0.0,60.2,11.0,8.0,2.0,2.0
3003.57,56.0,1.9,24.0,46.4,13.9,42.9,68.8,35.5,10.0,36.2,5.0,27.8,5.5,4.0,6.0,5.0
1394.04,47.0,1.6,14.0,24.1,8.3,7.6,30.1,5.5,6.0,59.9,2.0,77.16,6.3,5.0,,2.0
537.21,32.0,1.3,14.0,,7.4,18.7,0.0,19.0,13.0,66.5,4.0,1.8,9.9,2.0,0.0,2.0
807.84,44.0,3.6,13.0,31.3,5.4,21.5,13.5,11.7,38.0,62.6,3.0,65.5,,2.0,1.0,2.0
599.41,32.0,0.9,0.0,12.3,2.9,8.0,17.0,0.0,23.0,73.5,0.0,46.2,5.1,11.0,2.0,1.0
335.92,32.0,0.6,11.0,12.1,5.6,17.7,0.0,4.0,36.0,77.2,0.0,72.0,4.8,7.0,1.0,2.0
1229.94,40.0,7.1,10.0,19.2,7.0,,17.7,9.6,38.0,69.1,6.0,59.0,1.9,4.0,,4.0
1083.91,18.0,3.1,13.0,26.1,8.9,21.5,,19.0,3.0,47.7,2.0,22.9,0.2,8.0,4.0,3.0
1618.51,18.0,3.7,14.0,33.5,10.3,23.3,28.3,16.1,8.0,48.4,2.0,40.0,3.7,6.0,4.0,3.0
1692.54,31.0,1.4,24.0,50.8,18.0,26.5,81.6,45.0,55.0,44.0,5.0,83.8,2.5,4.0,5.0,1.0
503.26,25.0,0.9,4.0,12.4,3.7,15.5,0.0,0.0,78.0,68.5,1.0,42.6,7.0,9.0,1.0,1.0
1356.93,41.0,0.7,5.0,19.5,5.3,13.4,0.0,1.2,20.0,68.0,2.0,,8.0,4.0,,1.0
1096.88,27.0,2.0,0.0,20.3,9.8,17.5,3.4,12.5,5.0,59.8,2.0,6.5,18.6,4.0,0.0,3.0
1274.7,21.0,5.6,9.0,27.5,8.8,25.6,28.2,,42.0,52.1,4.0,,14.0,7.0,5.0,1.0
3063.29,55.0,1.2,24.0,50.3,16.0,37.8,76.7,72.1,4.0,25.2,9.0,33.0,11.6,1.0,5.0,1.0
644.58,35.0,4.7,6.0,14.4,6.5,2.9,3.3,19.9,32.0,80.9,,35.04,9.5,8.0,1.0,1.0
2051.85,38.0,2.7,30.0,45.1,10.7,27.5,40.8,14.8,8.0,29.6,6.0,25.8,1.6,5.0,6.0,1.0
3014.34,20.0,2.7,27.0,49.7,14.4,37.3,65.3,43.0,81.0,29.3,11.0,19.4,0.1,2.0,9.0,2.0
1935.29,31.0,3.3,18.0,40.1,12.8,45.2,68.3,38.0,39.0,45.5,7.0,22.1,2.2,5.0,8.0,2.0
1846.48,39.0,3.9,14.0,19.6,11.6,25.4,43.5,23.3,15.0,65.3,7.0,50.9,16.2,8.0,6.0,3.0
684.73,,1.3,17.0,18.9,8.6,19.0,25.4,18.3,40.0,61.1,7.0,40.08,5.8,2.0,4.0,4.0
1709.74,42.0,0.4,17.0,34.6,8.5,21.3,24.4,21.2,16.0,48.7,8.0,45.5,7.5,3.0,3.0,1.0
2954.9,30.0,1.4,16.0,38.2,,27.7,38.5,39.1,43.0,39.1,3.0,13.9,7.5,4.0,4.0,3.0
1226.33,34.0,4.4,12.0,42.1,13.3,28.8,38.8,23.8,10.0,38.3,8.0,32.3,5.9,1.0,2.0,2.0
1585.98,30.0,5.4,8.0,27.0,9.0,,15.4,4.6,24.0,61.0,3.0,23.6,,9.0,5.0,3.0
1633.16,60.0,4.9,27.0,45.6,,42.7,,57.8,59.0,35.1,,67.8,21.5,3.0,6.0,3.0
3367.15,37.0,7.5,29.0,48.9,15.9,39.6,59.0,33.6,34.0,27.8,14.0,22.2,5.1,1.0,10.0,5.0
2672.57,25.0,4.9,17.0,27.6,14.1,19.9,32.8,13.1,1.0,42.1,3.0,40.8,7.2,7.0,4.0,1.0
257.65,47.0,0.7,1.0,12.4,,9.4,0.0,23.0,9.0,59.2,0.0,18.4,4.2,2.0,0.0,2.0
1024.65,23.0,2.1,4.0,38.7,7.7,24.1,36.7,22.3,42.0,47.0,8.0,,3.8,8.0,6.0,1.0
2433.74,40.0,1.5,24.0,31.7,17.0,20.1,80.9,26.3,51.0,50.0,,65.8,4.1,5.0,6.0,4.0
1869.92,18.0,0.9,22.0,39.4,13.3,31.8,23.9,30.9,13.0,39.1,10.0,46.1,,4.0,9.0,2.0
1671.72,22.0,0.7,13.0,35.0,11.4,29.3,,26.0,21.0,47.7,7.0,10.8,11.0,4.0,5.0,5.0
1506.54,40.0,3.2,18.0,27.0,9.9,7.5,27.2,0.0,68.0,51.5,1.0,62.0,7.9,1.0,1.0,2.0
1256.34,46.0,0.7,17.0,48.6,15.3,31.1,52.5,33.6,59.0,50.8,12.0,32.16,6.0,5.0,,
935.84,40.0,2.2,26.0,32.6,10.5,18.1,26.4,33.5,4.0,53.8,8.0,65.0,7.6,12.0,5.0,2.0
1133.62,36.0,1.4,0.0,33.0,5.1,19.9,23.9,11.6,43.0,75.1,4.0,47.8,2.1,6.0,1.0,3.0
1294.69,,2.7,17.0,30.4,9.8,21.7,45.2,20.7,1.0,41.5,11.0,12.4,10.2,4.0,3.0,2.0
1339.58,20.0,5.0,24.0,56.2,14.5,33.0,62.5,30.4,66.0,22.7,9.0,15.3,8.2,2.0,5.0,1.0
1851.75,29.0,4.4,14.0,22.7,8.6,24.3,35.0,3.4,1.0,35.2,5.0,9.3,8.3,5.0,4.0,3.0
1399.19,32.0,0.5,15.0,28.0,8.0,25.6,16.3,11.0,91.0,55.4,4.0,33.84,8.7,3.0,2.0,3.0
837.92,50.0,3.0,0.0,26.8,,14.8,29.8,16.7,3.0,78.4,1.0,45.84,6.4,6.0,1.0,2.0
907.62,42.0,6.0,0.0,30.2,10.1,20.2,13.6,27.1,10.0,64.3,4.0,34.1,0.9,8.0,,2.0
3156.4,18.0,0.4,14.0,35.9,13.2,28.2,41.0,38.9,22.0,51.9,5.0,26.7,4.4,4.0,3.0,3.0
870.26,41.0,1.7,18.0,36.5,,36.1,38.6,18.9,69.0,44.9,3.0,,5.9,3.0,5.0,2.0
692.85,33.0,1.4,0.0,33.6,6.9,,2.0,8.0,32.0,64.0,4.0,26.0,1.4,4.0,2.0,1.0
1852.41,29.0,0.8,10.0,19.1,6.6,21.4,13.1,0.0,64.0,59.5,0.0,63.48,2.7,9.0,,2.0
486.6,,1.4,0.0,29.2,6.8,19.8,54.2,20.6,1.0,52.1,4.0,34.7,5.3,2.0,1.0,2.0
1059.04,50.0,4.8,15.0,33.9,,34.8,56.1,18.1,47.0,34.6,8.0,23.6,9.5,8.0,4.0,2.0
2134.96,49.0,1.8,0.0,13.2,5.8,6.6,0.9,11.9,94.0,58.6,1.0,,10.9,9.0,2.0,4.0
826.32,27.0,1.6,9.0,10.5,7.0,5.3,6.3,0.0,44.0,72.8,1.0,37.8,6.2,9.0,,1.0
2779.71,,2.1,10.0,39.6,8.9,16.0,51.3,32.0,14.0,38.9,5.0,,17.7,4.0,1.0,2.0
392.62,41.0,3.6,17.0,20.4,9.5,19.7,19.6,3.2,7.0,51.4,1.0,,5.1,4.0,2.0,1.0
1156.03,49.0,2.1,18.0,46.9,14.9,25.6,25.2,22.9,3.0,45.4,9.0,22.08,1.3,6.0,2.0,2.0
1458.06,,6.3,24.0,41.4,,39.5,43.3,24.7,8.0,48.1,,11.4,5.8,5.0,4.0,4.0
1125.37,35.0,1.7,5.0,20.8,6.9,12.8,47.2,22.0,9.0,70.2,3.0,62.2,,7.0,3.0,2.0
984.68,24.0,3.2,3.0,22.4,8.3,12.3,0.2,9.3,17.0,73.5,5.0,34.92,4.9,4.0,1.0,1.0
959.75,23.0,0.3,26.0,36.7,8.3,32.2,53.7,35.2,20.0,46.5,9.0,60.5,3.4,4.0,3.0,3.0
1717.65,47.0,4.8,16.0,45.7,12.7,32.9,29.8,48.3,14.0,41.7,7.0,,,3.0,4.0,2.0
2721.55,54.0,4.0,20.0,37.4,15.3,36.4,33.9,30.0,12.0,56.9,7.0,32.3,0.3,3.0,9.0,2.0
1333.02,37.0,3.8,6.0,32.8,10.5,10.9,48.4,8.8,6.0,51.2,7.0,16.9,16.6,7.0,4.0,1.0
2051.75,50.0,1.9,19.0,33.3,13.0,,42.7,32.0,18.0,27.4,8.0,32.04,13.1,5.0,5.0,1.0
1694.95,42.0,1.5,25.0,46.2,11.7,,68.9,30.3,25.0,34.5,9.0,,11.4,0.0,8.0,1.0
2763.37,30.0,1.4,14.0,39.0,12.1,36.2,68.6,36.6,4.0,22.1,9.0,65.64,14.4,3.0,3.0,3.0
596.21,42.0,3.5,6.0,9.0,5.9,2.3,0.0,,124.0,76.0,1.0,73.8,0.3,7.0,1.0,3.0
922.74,56.0,5.4,9.0,19.6,9.3,20.9,0.0,,53.0,54.3,5.0,57.5,3.5,8.0,1.0,1.0
1438.14,37.0,4.3,7.0,19.2,7.8,19.0,40.7,38.5,12.0,59.8,4.0,33.2,3.3,7.0,,3.0
619.33,56.0,2.6,6.0,22.9,5.9,6.8,45.5,29.2,,62.8,2.0,30.84,9.7,7.0,4.0,3.0
874.59,18.0,0.7,7.0,23.7,6.6,20.3,44.2,8.9,10.0,48.1,6.0,27.2,6.9,11.0,4.0,1.0
716.0,47.0,0.9,5.0,11.2,1.0,4.0,16.4,0.0,36.0,63.2,0.0,36.6,1.0,3.0,0.0,2.0
636.69,39.0,9.3,12.0,23.5,9.5,21.8,23.2,31.4,3.0,78.3,6.0,35.8,2.7,5.0,4.0,2.0
2284.67,,1.2,12.0,36.7,9.7,31.1,27.9,28.2,8.0,63.4,3.0,27.72,,4.0,4.0,2.0
2162.26,39.0,0.9,17.0,39.1,11.2,36.7,39.1,23.9,32.0,30.7,9.0,61.8,3.1,3.0,7.0,2.0
175.66,18.0,0.8,5.0,18.3,4.1,3.2,0.0,0.0,15.0,68.8,1.0,12.72,,8.0,0.0,5.0
261.59,35.0,1.3,12.0,27.0,9.3,18.7,27.1,0.0,43.0,61.3,3.0,75.6,5.3,3.0,0.0,2.0
441.47,42.0,1.6,2.0,13.8,9.2,16.8,38.0,32.6,6.0,61.8,2.0,32.1,2.9,8.0,0.0,3.0
1807.29,55.0,5.3,18.0,42.1,9.5,29.4,36.6,41.7,74.0,62.0,8.0,61.92,1.9,4.0,5.0,4.0
1354.28,,3.6,3.0,18.5,7.0,12.3,28.7,12.2,14.0,58.5,3.0,65.0,7.0,5.0,2.0,2.0
2308.95,28.0,0.2,31.0,37.3,16.7,32.5,52.2,32.0,67.0,32.0,,33.3,3.3,7.0,6.0,3.0
3622.72,31.0,3.6,32.0,44.2,14.5,,27.2,27.6,11.0,20.7,4.0,63.9,5.5,2.0,4.0,3.0
1129.4,48.0,6.3,21.0,26.0,12.3,13.3,,18.9,61.0,65.8,1.0,,5.5,5.0,3.0,2.0
1862.75,41.0,3.4,23.0,44.6,14.2,27.8,35.2,39.2,48.0,46.8,5.0,25.1,17.0,4.0,1.0,1.0
2893.2,31.0,1.2,32.0,37.1,14.8,,,32.6,,46.3,5.0,28.0,2.9,5.0,5.0,3.0
512.69,44.0,1.8,6.0,10.0,3.6,12.9,0.0,20.7,31.0,72.2,3.0,62.4,6.7,5.0,0.0,1.0
1308.33,39.0,2.1,14.0,32.7,13.2,26.4,45.1,35.8,91.0,46.2,4.0,47.9,12.0,5.0,5.0,3.0
1442.5,49.0,2.5,14.0,37.1,9.7,20.9,28.7,30.9,20.0,36.0,4.0,31.08,9.9,7.0,4.0,2.0
846.28,29.0,1.9,5.0,11.6,6.6,5.6,9.5,0.0,57.0,87.1,,9.7,2.1,6.0,2.0,3.0
2912.08,34.0,2.9,24.0,37.7,10.6,30.2,22.7,37.9,9.0,45.8,8.0,92.52,,7.0,4.0,
2106.27,,3.2,19.0,34.0,11.3,29.2,35.9,55.0,51.0,30.7,7.0,8.3,6.8,6.0,5.0,1.0
1131.39,20.0,2.7,9.0,27.6,9.9,16.6,44.6,,22.0,50.2,6.0,98.4,2.4,2.0,3.0,3.0
622.44,41.0,2.3,5.0,16.5,,4.7,0.0,,30.0,90.2,2.0,5.2,,4.0,0.0,5.0
1194.47,41.0,3.6,9.0,21.8,6.2,24.5,8.3,,8.0,69.0,5.0,68.5,0.2,6.0,3.0,2.0
3184.95,38.0,2.5,18.0,34.4,12.7,25.2,45.6,28.1,13.0,45.7,5.0,101.52,12.1,8.0,3.0,1.0
1467.19,35.0,2.8,21.0,40.1,14.1,34.2,49.2,41.7,42.0,42.0,9.0,19.8,5.5,3.0,3.0,1.0
1212.35,21.0,1.5,0.0,11.6,5.4,18.6,28.6,2.2,,80.8,3.0,68.8,2.1,4.0,1.0,2.0
1272.3,32.0,4.0,1.0,13.3,5.0,5.8,4.5,14.9,2.0,73.1,2.0,57.84,4.7,3.0,2.0,1.0
2159.92,33.0,6.6,27.0,48.5,13.5,23.2,14.8,30.7,,54.8,7.0,4.9,0.6,3.0,6.0,1.0
402.08,28.0,5.3,0.0,26.8,5.7,11.9,0.0,0.0,1.0,82.7,0.0,,1.5,9.0,1.0,3.0
1160.54,36.0,1.2,10.0,17.3,2.8,2.4,0.6,21.6,32.0,62.2,1.0,75.4,8.8,7.0,3.0,1.0
1345.57,42.0,3.4,7.0,25.9,12.2,18.9,4.7,23.3,24.0,62.5,4.0,71.3,7.0,2.0,2.0,2.0
2917.77,60.0,7.7,29.0,42.3,,30.1,57.5,44.9,3.0,4.9,5.0,29.8,6.5,3.0,4.0,
769.57,40.0,4.4,5.0,15.5,7.1,,2.7,4.8,108.0,63.2,2.0,66.47999999999999,6.4,4.0,1.0,3.0
1834.24,41.0,2.7,20.0,34.0,12.1,26.5,35.4,37.4,80.0,46.0,8.0,22.8,5.1,4.0,5.0,3.0
1339.59,37.0,0.9,16.0,34.4,12.1,19.4,,19.7,23.0,36.9,5.0,,9.5,7.0,2.0,2.0
610.16,,0.8,3.0,16.2,7.7,16.7,8.1,8.2,43.0,68.4,3.0,47.6,2.2,8.0,5.0,3.0
1082.06,37.0,4.1,13.0,36.1,10.4,27.7,59.8,39.3,76.0,48.0,4.0,18.1,18.7,5.0,4.0,2.0
1709.37,38.0,9.1,3.0,27.2,6.7,16.5,60.6,38.3,127.0,51.9,4.0,7.2,5.7,7.0,3.0,2.0
1638.41,67.0,0.8,27.0,33.5,14.4,28.8,35.9,27.1,14.0,39.5,9.0,36.8,3.1,2.0,6.0,2.0
700.73,35.0,1.7,5.0,11.8,3.9,,3.3,16.3,3.0,71.7,1.0,40.6,3.3,5.0,1.0,2.0
456.07,41.0,2.7,6.0,11.6,4.0,13.3,22.8,0.0,3.0,76.2,1.0,20.1,4.2,5.0,,5.0
1849.5,37.0,1.0,4.0,18.4,4.9,8.8,34.2,0.0,23.0,65.5,,54.0,7.6,5.0,4.0,3.0
1495.49,23.0,1.1,12.0,31.6,13.1,26.8,37.8,37.8,66.0,45.1,2.0,50.0,6.7,5.0,9.0,3.0
1651.78,51.0,1.7,8.0,24.0,6.5,11.5,69.0,37.8,34.0,51.5,5.0,55.7,3.1,3.0,1.0,2.0
725.92,47.0,2.1,9.0,16.3,5.1,15.5,10.0,12.8,1.0,62.3,5.0,21.6,2.7,8.0,2.0,1.0
1812.52,47.0,1.2,10.0,27.7,9.7,11.8,50.3,34.9,23.0,52.9,,65.75999999999999,11.9,7.0,2.0,
1136.39,27.0,2.9,7.0,13.5,5.4,11.4,0.9,0.1,2.0,68.9,2.0,30.8,11.4,11.0,,3.0
2396.66,54.0,7.4,14.0,25.2,13.9,25.6,,20.9,29.0,43.6,6.0,16.439999999999998,,5.0,10.0,2.0
619.54,21.0,0.1,10.0,21.4,7.5,22.2,0.0,5.7,1.0,69.2,4.0,,6.1,9.0,1.0,3.0
4964.67,45.0,2.3,28.0,45.7,15.8,29.9,51.5,41.8,,23.4,11.0,18.96,2.1,3.0,8.0,2.0
443.82,64.0,2.6,5.0,,2.1,6.7,0.0,12.7,1.0,77.3,0.0,9.6,0.9,1.0,0.0,2.0
468.91,26.0,0.9,10.0,26.9,6.9,11.2,13.1,2.2,11.0,67.8,2.0,26.7,6.4,4.0,3.0,3.0
778.34,31.0,3.3,6.0,11.3,,20.4,60.1,14.2,2.0,73.6,2.0,69.5,4.0,10.0,3.0,3.0
446.78,,3.4,0.0,20.7,6.6,,28.8,15.6,12.0,74.7,2.0,73.32,0.3,2.0,1.0,3.0
588.44,31.0,3.7,8.0,13.0,6.0,10.0,29.1,,3.0,70.6,0.0,16.7,1.7,7.0,1.0,
1598.45,19.0,2.3,7.0,25.4,8.6,15.4,37.6,12.2,0.0,70.3,,,11.1,8.0,3.0,4.0
426.96,38.0,0.8,10.0,13.4,7.5,0.5,0.0,20.4,34.0,80.6,3.0,46.5,7.3,8.0,0.0,3.0
1701.84,25.0,9.5,11.0,27.1,9.8,,16.4,20.4,,47.3,6.0,35.04,7.7,2.0,3.0,2.0
824.37,43.0,3.4,13.0,26.6,11.2,19.4,29.4,6.3,65.0,63.1,4.0,30.3,6.7,5.0,3.0,2.0
1147.12,,0.9,28.0,35.8,8.6,21.1,15.1,29.3,33.0,48.0,3.0,18.9,8.4,9.0,6.0,2.0
1027.46,,1.4,8.0,21.0,8.4,17.2,37.7,6.5,15.0,50.5,5.0,28.44,3.8,6.0,1.0,1.0
